"Gene","ProbeId","EntrezId"
"C4ORF10",7560736,317648
"NARG1L",7150091,79612
"TPR",6400288,7175
"EXOSC1",7150438,51013
"LOC126520",5910494,126520
"DTYMK",1260471,1841
"KIAA0317",3170376,9870
"UCP2",6580059,7351
"LOC730235",3460204,730235
"HS.550960",4280465,NA
"FXYD3",6760440,5349
"CTBS",2850184,1486
"HLA-DRB3",1770504,3125
"GRWD1",670554,83743
"DND1",2060678,373863
"LOC649639",4880113,649639
"SCRT1",510139,83482
"LOC441056",2030167,441056
"NUP133",1450369,55746
"ODF2L",6840026,57489
"HS.146741",2000400,NA
"LOC653625",4120468,653625
"GMIP",1070044,51291
"HS.539736",1070132,NA
"SNORD13",7210035,692084
"LOC440487",580367,440487
"HS.96672",5860379,NA
"SPAG16",5090196,79582
"P2RY6",5130291,5031
"COMMD4",2370093,54939
"CARD14",2360609,79092
"HS.583661",5270050,NA
"CD2BP2",2490066,10421
"LOC728640",5720491,728640
"LOC644604",6620563,644604
"ENOPH1",5890102,58478
"LOC651530",5310356,651530
"LOC100131963",3460482,100131963
"GSTT1",7400537,2952
"ATAD3B",7330091,83858
"UBXN8",3390521,7993
"TMEM66",6280270,51669
"C5ORF42",4480398,65250
"P4HA2",4010064,8974
"TUBA1B",6510176,10376
"LOC642826",580731,642826
"MTRF1L",6770717,54516
"HS.584259",7320615,NA
"THAP10",150274,56906
"BTK",6380161,695
"FAM86B1",7200414,85002
"INSIG1",1820332,3638
"ASPSCR1",1850307,79058
"EMX2",2070307,2018
"LOC93432",7040673,93432
"RAB12",1240164,201475
"LOC644387",6590138,644387
"PAK4",4490632,10298
"TM9SF1",6480747,10548
"SORCS3",4290674,22986
"SLC25A16",4260689,8034
"SAMD14",5560280,201191
"LOC441666",3140201,441666
"HMG20A",6250180,10363
"LOC729905",4230040,729905
"COX5A",4900670,9377
"FAM73A",2320097,374986
"ZNF497",540102,162968
"HS.434413",5080707,NA
"NAPA",1580373,8775
"HELQ",4150397,113510
"SLC26A11",4180390,284129
"MAPK3",2060561,5595
"AGFG1",990754,3267
"NARS2",5860592,79731
"LOC642341",7380632,642341
"LOC100132176",830487,100132176
"SAMD4B",1780156,55095
"HS.7572",6400390,NA
"AMY1C",1820068,278
"C2ORF47",4120377,79568
"CES7",1990246,221223
"PPP4R2",5960746,151987
"HS.211182",7050279,NA
"ANO9",2750711,338440
"ME2",6200408,4200
"HS3ST6",7000035,64711
"VIL2",2640369,7430
"OVCH2",540463,341277
"FTH1",5220240,2495
"GJB4",3850341,127534
"DRG2",5960017,1819
"ACAD8",730671,27034
"LOC133609",2190068,133609
"CHCHD7",3850180,79145
"FANK1",50296,92565
"HECA",610367,51696
"GP9",1050292,2815
"UPF1",1450168,5976
"UBE2J2",1410392,118424
"PDGFRA",6940609,5156
"CAST",3990112,831
"HS.112932",3460519,NA
"LOC285423",160056,285423
"RABL5",5490484,64792
"RPL8",3060477,6132
"TP53AP1",3850026,11257
"LOC387703",2850356,387703
"FASTKD5",6650220,60493
"HOXD1",3890735,3231
"PPP1R8",2480747,5511
"WDR82",5360086,80335
"ZNF362",7040270,149076
"DENR",7330164,8562
"HAPLN2",4150133,60484
"EBF3",7160435,253738
"MEIS2",20358,4212
"RNF152",7200014,220441
"PON3",4210228,5446
"DNMT3A",6450373,1788
"C19ORF40",4890364,91442
"HS.22302",1400193,NA
"LOC100129322",1570136,100129322
"NT5DC1",6960129,221294
"LOC391160",1580075,391160
"DHX34",5690273,9704
"DIMT1L",1110114,27292
"ATXN7L2",2710187,127002
"LOC90120",2810392,90120
"RBKS",4200209,64080
"UFC1",4780136,51506
"PRPH",5960180,5630
"LOC100131643",2940315,100131643
"LGI1",4150068,9211
"LOC652599",4250019,652599
"HS.131087",2000682,NA
"MAPK12",450082,6300
"SPAST",4480010,6683
"LOC100132317",510072,100132317
"RRAGC",2810112,64121
"SRY",7160259,6736
"GAS5",5290075,60674
"HS.147562",1450215,NA
"DHRS9",7160468,10170
"SEC31B",5310682,25956
"NCKAP1",5960274,10787
"HS.146852",7200730,NA
"NHS",6270484,4810
"AQR",2690639,9716
"CYB5A",2140154,1528
"NOL6",3370382,65083
"FASTKD3",3990465,79072
"EBI2",4490520,1880
"TXNDC2",4830440,84203
"BCL2L1",670673,598
"LOC100130562",7150296,100130562
"ARFIP2",870082,23647
"HS.550126",7510044,NA
"PIWIL4",4540333,143689
"PTCH1",1410289,5727
"OSBPL2",1570014,9885
"ENTPD3",4850504,956
"CCDC66",2900110,285331
"CCNG1",3170110,900
"SLAMF1",5810136,6504
"AFTPH",450097,54812
"MRPS16",4830577,51021
"MUC6",4200156,4588
"AP1B1",730301,162
"HS.576963",1990215,NA
"C5ORF51",3180132,285636
"SHOX2",3360041,6474
"BHLHE22",7210551,27319
"LOC100132475",940368,100132475
"PHYHIP",1400343,9796
"TMEM177",3930278,80775
"LOC653314",870181,653314
"TOMM20L",4610242,387990
"ATP2B1",6510164,490
"TRIM10",7400451,10107
"LACTB",5900524,114294
"LOC646195",4040008,646195
"HS.565314",2630592,NA
"LOC100133823",70180,100133823
"C5ORF45",2600047,51149
"EPHA4",6650482,2043
"SLC35C2",5960450,51006
"LOC643792",4590086,643792
"HS.232649",6220193,NA
"C3ORF34",1430435,84984
"ALPPL2",2490376,251
"LOC652710",5560437,652710
"EBF4",2450730,57593
"CSGALNACT2",1980092,55454
"RNASEH2A",4230068,10535
"LOC644953",6520343,644953
"NOS2A",5690451,4843
"LOC642267",460653,642267
"GRLF1",2260128,2909
"FAM190B",4920327,54462
"TNK2",1850482,10188
"KDR",5270452,3791
"SHKBP1",3800307,92799
"HS.146882",5090685,NA
"HS.156568",60441,NA
"ZNF598",2030070,90850
"APOL3",1980750,80833
"LOC648415",2060692,648415
"DDX60L",6510735,91351
"DENND1C",3710601,79958
"MTRF1",6510475,9617
"LOC377711",990561,377711
"TFEB",1050086,7942
"C13ORF7",6980286,79596
"KIR2DL4",2140719,3805
"LOC648403",2060008,648403
"EPHA10",5560367,284656
"TP63",1770156,8626
"PIGO",5260563,84720
"KIAA0251",3180309,23042
"LILRB3",2470017,11025
"EFNB3",2680070,1949
"ENPP3",2630204,5169
"IL1RN",2470601,3557
"XPO4",3800707,64328
"RPS8",5810129,6202
"FAM21D",3710270,653450
"CAPN3",3870441,825
"LOC100131253",6590762,100131253
"MCTP2",990349,55784
"HS.50125",4590376,NA
"LOC730274",3930228,730274
"SUPT6H",3370750,6830
"ABCC5",6580553,10057
"OLFM1",3800204,10439
"GIT2",4540626,9815
"HS.562448",7160091,NA
"BIK",6280440,638
"TRAK2",110075,66008
"SLC19A3",4540593,80704
"RASAL3",520273,64926
"UQCRH",6960735,7388
"ACCN3",6110482,9311
"LOC100190939",1850324,100190939
"HRB",1500341,3267
"HS.452398",1510204,NA
"NBPF9",2360133,440670
"SCCPDH",4490220,51097
"RANGAP1",2900292,5905
"AFMID",2070707,125061
"STRA13",270605,201254
"KATNAL1",2470600,84056
"CLCN2",2760241,1181
"CHMP2B",6250121,25978
"HS.516314",5310022,NA
"GFM2",7320452,84340
"HS.562980",4540445,NA
"VPS8",6420538,23355
"HS.575241",6040315,NA
"LOC732300",2630273,732300
"IRF2BP2",6660768,359948
"BVES",7210349,11149
"STK17B",2810291,9262
"LOC392008",1740358,392008
"STK16",6270528,8576
"SYTL3",2600682,94120
"LOC100130884",2570474,100130884
"RECQL",1110112,5965
"HS.574475",6960167,NA
"LOC388963",6940470,388963
"HS.306410",2940601,NA
"TMEM63B",4180521,55362
"LOC652606",6380521,652606
"TMEM116",2070736,89894
"YAF2",4590593,10138
"HHEX",5130750,3087
"PLA2G12B",4120392,84647
"DSCR4",2030364,10281
"FGL2",1430170,10875
"GRAMD2",5720619,196996
"CDRT1",4610600,374286
"CLIP1",6110427,6249
"SIGLECP3",460717,284367
"LOC283332",70020,283332
"HS.571096",20315,NA
"LIN9",6420703,286826
"SCG3",5570364,29106
"CXCL12",4560020,6387
"HOXB9",430296,3219
"PCLO",2710041,27445
"LOC728671",1340725,728671
"LOC390205",3440632,390205
"CBWD3",1740753,445571
"SNAP25",3440253,6616
"LOC728210",4830639,728210
"SULT1E1",1660156,6783
"C1QC",1440341,714
"RPL31P10",7000373,390283
"F10",5340358,2159
"SPAG1",4760131,6674
"TMEM110",5270681,375346
"CLCA4",5420577,22802
"RUNX1T1",3990017,862
"TRABD",270736,80305
"MAST2",5290008,23139
"MGC70857",7200647,414919
"FAIM3",5270520,9214
"DIAPH1",3940670,1729
"C7ORF28A",3060082,51622
"LOC283267",6760386,283267
"LOC100130679",4590156,100130679
"CTDSP1",7150333,58190
"RPL37",1070653,6167
"LOC652721",160162,652721
"TEX11",1300544,56159
"ERCC6",520168,2074
"LOC649679",6550274,649679
"EGFLAM",3800142,133584
"LOC728780",4050762,728780
"IMPACT",6200204,55364
"ZNF367",6480176,195828
"ADSS",6020333,159
"ARHGAP22",510520,58504
"LOC645508",6660138,645508
"LCE1E",130097,353135
"IFLTD1",3290437,160492
"DIAPH3",6560167,81624
"RPLP1",2690561,6176
"LOC728590",770762,728590
"HOXB6",1030326,3216
"HS.309308",3830541,NA
"LOC401252",1090524,401252
"SLC12A2",4220041,6558
"BID",5270136,637
"LOC126767",6860546,126767
"FTHL12",4730181,2504
"FLJ39739",5860692,388685
"HS.544228",6200047,NA
"WWP1",1980201,11059
"CYP27A1",7040735,1593
"MC1R",520292,4157
"LOC730107",5820021,730107
"RIC8A",6860373,60626
"CD28",4890722,940
"FLJ44216",3610725,375484
"ACTG2",4610431,72
"NME1",1820504,4830
"OR2T11",6330209,127077
"PRMT1",1170288,3276
"FBLN1",4830685,2192
"PRPSAP2",290112,5636
"DEFB109",6900156,641517
"VHL",2480170,7428
"ACYP2",130367,98
"FLJ10661",4060373,286042
"PHF1",7610273,5252
"HS.130555",4230059,NA
"AASDHPPT",6060767,60496
"LOC100129148",7320192,100129148
"SNORD100",5890692,594838
"MAN2A1",3990608,4124
"CTSC",5270367,1075
"CAPS",2650474,828
"PHRF1",430491,57661
"HS.246508",5130341,NA
"PDGFD",5690139,80310
"LRRC17",6110746,10234
"DEPDC6",870390,64798
"ARPP-21",7210554,10777
"SNURF",1050408,8926
"SDF2L1",3120079,23753
"RPS3",6180039,6188
"KIAA1804",3290411,84451
"GSC",7050364,145258
"OR2A42",6020379,402317
"MIR98",4900280,407054
"MRPL55",1850670,128308
