"Gene","ILLUMINA_PROBE_ID","EntrezId"
"TERF1",110437,7013
"ACADS",110441,35
"SLC12A9",110450,56996
"NEURL",110458,9148
"LOC727914",110465,727914
"LOC729926",110470,729926
"GSS",110474,2937
"TMOD2",110504,29767
"ALX1",110521,8092
"HS.188979",110523,NA
"LOC647466",110538,647466
"NDST2",110561,8509
"KIAA0672",110575,9912
"MIR29B1",110619,407024
"MAPK14",110639,1432
"TSPAN4",110661,7106
"USO1",110669,8615
"S100A11",110682,6282
"EFS",110706,10278
"ANKAR",110707,150709
"TM2D2",110711,83877
"ADAM23",110731,8745
"LOC645387",110736,645387
"ZNF394",110739,84124
"RBM35A",110754,54845
"IL2RA",130021,3559
"PHF5A",130037,84844
"ICAM1",130044,3383
"KIAA1958",130048,158405
"LOC653652",130050,653652
"AGA",130064,175
"IFT172",130070,26160
"CYB561",130086,1534
"GRIN2B",130091,2904
"MT1H",130093,4496
"LCE1E",130097,353135
"HS.164030",130114,NA
"ACSL4",130131,2182
"LOC653994",130142,653994
"ZC4H2",130154,55906
"LCK",130161,3932
"FLJ25363",130162,401082
"NEDD1",130168,121441
"HS.543172",130184,NA
"PAPSS1",130187,9061
"HS.561604",130195,NA
"PPM1K",130201,152926
"CCNG2",130215,901
"MRTO4",130220,51154
"EPS8L2",130221,64787
"LOC440589",130224,440589
"HDHD1A",130228,8226
"CSNK2A1",130255,1457
"LETM1",130270,3954
"LCK",130274,3932
"LOC648283",130278,648283
"C3ORF62",130280,375341
"GAK",130286,2580
"HS.125247",130296,NA
"ZNF174",130300,7727
"CDKN1B",130309,1027
"TMPRSS2",130324,7113
"GAR1",130326,54433
"SAA1",130338,6288
"CAPN3",130349,825
"LOC650008",130358,650008
"C5ORF62",130364,85027
"PRKAR1A",130368,5573
"HDAC6",130370,10013
"TNRC6A",130386,27327
"OLFML1",130390,283298
"GLUL",130392,2752
"KLHL20",130408,27252
"RTP2",130427,344892
"CTTN",130433,2017
"LOC643446",130440,643446
"MIR590",130451,693175
"LOC100128775",130487,100128775
"LOC729486",130497,729486
"LOC100130934",130520,100130934
"EPHA3",130537,2042
"KIAA1160",130544,57461
"GSTA4",130561,2941
"LOC649864",130594,649864
"LOC100134420",130601,100134420
"DYNLRB1",130603,83658
"PPFIA1",130608,8500
"FCGBP",130609,8857
"RFWD2",130639,64326
"RALGPS2",130646,55103
"ARHGAP6",130653,395
"BAG5",130669,9529
"ZDHHC5",130670,25921
"MED21",130672,9412
"NHP2",130673,55651
"CSF2RA",130674,1438
"LOC100130511",130706,100130511
"ARPC1B",130717,10095
"C5ORF24",130731,134553
"PGGT1B",130735,5229
"YPEL3",130750,83719
"AIM2",130753,9447
"PTPRZ1",130754,5803
"C19ORF22",150020,91300
"SMARCB1",150021,6598
"DUSP15",150022,128853
"MANSC1",150041,54682
"PSME1",150047,5720
"SEC24B",150048,10427
"DHX36",150050,170506
"DPEP1",150056,1800
"SCNN1D",150059,6339
"ABHD14B",150064,84836
"HS.570192",150068,NA
"WDR33",150070,55339
"IRF8",150072,3394
"RBM33",150092,155435
"TP53BP2",150095,7159
"S100A3",150100,6274
"LOC100133931",150112,100133931
"DIRAS3",150114,9077
"C1ORF135",150129,79000
"LOC253573",150138,253573
"ZNF706",150139,51123
"LOC650200",150142,650200
"MAP1S",150148,55201
"PPIG",150164,9360
"HS.569404",150195,NA
"LOC196752",150224,196752
"LOC642282",150259,642282
"CYB561",150270,1534
"THAP10",150274,56906
"HECTD3",150280,79654
"ZNF616",150291,90317
"LOC644482",150292,644482
"C21ORF7",150315,56911
"HS.211724",150341,NA
"PHKB",150349,5257
"PPP2R5C",150356,5527
"LOC400036",150368,400036
"HS.582516",150369,NA
"LOC652771",150390,652771
"HS.522924",150392,NA
"IRF3",150397,3661
"LBA1",150400,9881
"SNORD114-2",150431,767578
"LOC644590",150437,644590
"MID1IP1",150438,58526
"TIGA1",150441,114915
"MSH3",150465,4437
"LOC100132428",150468,100132428
"LOC441052",150470,441052
"LARP1B",150475,55132
"SLITRK2",150482,84631
"TRIM14",150484,9830
"SOX30",150487,11063
"LOC401622",150491,401622
"SLC2A9",150497,56606
"MAEA",150528,10296
"SMAD1",150541,4086
"PMS2L5",150575,5383
"EIF4G1",150577,1981
"HS.550218",150598,NA
"LOC646426",150608,646426
"LOC641710",150626,641710
"UBE2G1",150630,7326
"LOC731658",150639,731658
"HS.200698",150646,NA
"TULP4",150669,56995
"KLHL7",150672,55975
"ZNHIT6",150681,54680
"SLC26A6",150692,65010
"UGP2",150706,7360
"LOC642250",150743,642250
"SORT1",160019,6272
"LOC100133224",160022,100133224
"MTMR6",160026,9107
"KGFLP1",160044,387628
"CCDC69",160068,26112
"C16ORF30",160070,79652
"MGC10997",160079,84741
"LOC399804",160091,399804
"HSPA6",160092,3310
"LOC651483",160093,651483
"LOC650930",160095,650930
"LOC730098",160102,730098
"SMAP1",160114,60682
"HS.562701",160131,NA
"GPR89A",160142,51463
"AK3L1",160148,205
"NPY5R",160154,4889
"LOC652721",160162,652721
"PKM2",160170,5315
"RYR1",160189,6261
"RPP40",160204,10799
"KDELC1",160209,79070
"CLEC16A",160224,23274
"MBNL1",160253,4154
"LSM10",160255,84967
"HS.543924",160273,NA
"SLC15A4",160279,121260
"SCAMP4",160286,113178
"MVP",160291,9961
