Infected,MuseumNumber,Province,Locality,Family,Species,Diet,Sex,Age,TesticlePosition,Epididymis,MammaeCondition,Vagina
-,UADBA 50202,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50203,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50204,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
+,UADBA 50205,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50206,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218080,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218081,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218082,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218083,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218084,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Female,Sub-adult,-,-,-,-
-,FMNH 218085,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 218086,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218087,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218088,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218089,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218090,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218091,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
+,UADBA 50257,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 50258,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50259,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50260,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 218092,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50261,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 218093,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50262,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 218094,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50262,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Sub-adult,-,-,Large,Perforated
-,FMNH 218095,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,FMNH 218096,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218097,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50264,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218098,Toliara,SAK1,Molossidae,Mops midas,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 50340,Toliara,SAK2,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218099,Toliara,SAK2,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 218100,Toliara,SAK2,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218101,Toliara,SAK2,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 50224,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50225,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 50226,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50227,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50228,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50229,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218104,Toliara,KIR1,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 218105,Toliara,KIR1,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 218106,Toliara,KIR1,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 218107,Toliara,KIR1,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
