Infected,MuseumNumber,Province,Locality,Family,Species,Diet,Sex,Age,TesticlePosition,Epididymis,MammaeCondition,Vagina
-,UABBA 32997,Antsiranana,ANDRF2,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 32998,Antsiranana,ANDRF2,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UABBA 32999,Antsiranana,ANDRF2,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UABBA 33000,Antsiranana,ANDRF2,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,UADBA 32987,Antsiranana,ANDRF2,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32988,Antsiranana,ANDRF2,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32989,Antsiranana,ANDRF2,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221307,Antsiranana,ANDRF2,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221308,Antsiranana,ANDRF2,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Large,Perforated
+,FMNH 221309,Antsiranana,ANDRF2,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32984,Antsiranana,ANDRF2,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
+,UADBA 32985,Antsiranana,ANDRF2,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221310,Antsiranana,ANDRF2,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32986,Antsiranana,ANDRF2,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 221295,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Female,Adult,-,-,Very large,Perforated
-,FMNH 221296,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Female,Adult,-,-,Very large,Perforated
-,FMNH 221297,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,FMNH 221298,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 221299,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32975,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Female,Adult,-,-,Very large,Perforated
-,UADBA 32976,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 32977,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 32978,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Female,Adult,-,-,Very large,Perforated
-,UADBA 32979,Antsiranana,ANDOK,Pteropodidae,Eidolon dupreanum,Frugivorous,Female,Adult,-,-,Very large,Perforated
+,FMNH 221311,Antsiranana,CROCO,Emballonuridae,Coleura kibomalandy,Insectivorous,Female,Adult,-,-,Large,Perforated
+,FMNH 221312,Antsiranana,CROCO,Emballonuridae,Coleura kibomalandy,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32983,Antsiranana,CROCO,Emballonuridae,Coleura kibomalandy,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33027,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33028,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,UADBA 33029,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33030,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33031,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,FMNH 221330,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221331,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221332,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221333,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221334,Antsiranana,CROCO,Miniopteridae,Miniopterus gleni,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221316,Antsiranana,CROCO,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 33001,Antsiranana,CROCO,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,FMNH 221325,Antsiranana,CROCO,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,FMNH 221326,Antsiranana,CROCO,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221327,Antsiranana,CROCO,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221328,Antsiranana,CROCO,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,FMNH 221329,Antsiranana,CROCO,Miniopteridae,Miniopterus aelleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33002,Antsiranana,CROCO,Miniopteridae,Miniopterus aelleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221350,Antsiranana,CROCO,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221351,Antsiranana,CROCO,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221352,Antsiranana,CROCO,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 221353,Antsiranana,CROCO,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 221354,Antsiranana,CROCO,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221355,Antsiranana,CROCO,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33033,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,Abdominal,Convoluted,-,-
-,UADBA 33034,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,Abdominal,Convoluted,-,-
-,UADBA 33035,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,UADBA 33036,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,UADBA 33037,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,UADBA 33038,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,UADBA 33039,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,UADBA 33040,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,UADBA 33041,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221421,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221422,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221423,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
+,FMNH 221424,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221425,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221426,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221427,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221428,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221429,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,FMNH 221420,Antananarivo,AMBT2,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,UADBA 33043,Antananarivo,AMBT2,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221430,Antananarivo,AMBT,Miniopteridae,Miniopterus cf. ambohitrensis,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221445,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
+,FMNH 221446,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221447,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,-,-
-,FMNH 221439,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221448,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221449,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221450,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32666,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32667,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32668,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32669,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,-,-
-,UADBA 32670,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32671,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32672,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32673,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32674,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,-,-
-,FMNH 221431,Mahajanga,ANJKK,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,FMNH 221432,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 221433,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 221434,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 33641,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
+,UADBA 33642,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,UADBA 33643,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
+,FMNH 221435,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
+,FMNH 221436,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33644,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,UADBA 33645,Mahajanga,ANJKK,Molossidae,Otomops madagascariensis,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,UADBA 33679,Mahajanga,ANJKK,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,UADBA 33680,Mahajanga,ANJKK,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,UADBA 33681,Mahajanga,ANJKK,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
+,FMNH 221437,Mahajanga,ANJKK,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,FMNH 221438,Mahajanga,ANJKK,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33675,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221440,Mahajanga,ANJKK,Miniopteridae,Miniopterus aelleni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221441,Mahajanga,ANJKK,Miniopteridae,Miniopterus aelleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221442,Mahajanga,ANJKK,Miniopteridae,Miniopterus aelleni,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221443,Mahajanga,ANJKK,Miniopteridae,Miniopterus aelleni,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33676,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 33677,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 33678,Mahajanga,ANJKK,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221444,Mahajanga,ANJKK,Miniopteridae,Miniopterus aelleni,Insectivorous,Female,Adult,-,-,-,-
-,UADBA 33646,Mahajanga,ANKPK,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 33647,Mahajanga,ANKPK,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221451,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33648,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221452,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221453,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221454,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,FMNH 221455,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221456,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221457,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Abdominal,-,-,-
-,FMNH 221458,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221459,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Sub-adult,-,-,Large,Perforated
-,UADBA 33649,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33650,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Partially descended,Partially convoluted,-,-
-,FMNH 221465,Toliara,BELO,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221466,Toliara,BELO,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 221467,Toliara,BELO,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 221468,Toliara,BELO,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 221469,Toliara,BELO,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 221460,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Sub-adult,-,-,Small,-
-,FMNH 221461,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Partially descended,Not convoluted,-,-
-,FMNH 221462,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221463,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221464,Toliara,BELO,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50244,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50245,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 50246,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 50247,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50248,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50249,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50250,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50251,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,UADBA 50252,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Convoluted,-,-
-,UADBA 50253,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 50254,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50255,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,FMNH 221473,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221474,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221475,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50256,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221476,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221470,Toliara,TSMIF,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221471,Toliara,TSMIF,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221472,Toliara,TSMIF,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221477,Toliara,MAH,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,FMNH 221478,Toliara,MAH,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221479,Toliara,MAH,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221480,Toliara,MAH,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,FMNH 221481,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33651,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 33652,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33653,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33654,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33656,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33655,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33657,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33658,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Partially descended,Not convoluted,-,-
-,UADBA 33659,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33660,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33661,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33662,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,UADBA 33663,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Partially descended,Not convoluted,-,-
-,UADBA 33664,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 33665,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 227730,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 227731,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 227732,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 227733,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 222734,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,FMNH 222735,Toamasina,ANDA1,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 222736,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 222737,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 222738,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 222739,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal ,Not convoluted,-,-
-,FMNH 222740,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 222741,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Sub-adult,-,-,Small,-
-,FMNH 222742,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 222743,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 222744,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 222745,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 222746,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33707,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33706,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 33705,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 33708,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 33709,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33710,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 33711,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 33712,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33713,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33714,Toamasina,ANDA1,Molossidae,Chaerephon atsinanana,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
